Hotel Name,Address / Location,State,Phone,Email,Type (Star Category),Rooms,Budget,Who Traveling,Most Popular Facilities,Availability,Guest Reviews,Price (Per Night),Distance From Popular Places,Star Rating,Image URL
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
The Lalit Grand Palace Srinagar,"Gupkar Road, Srinagar",Jammu & Kashmir,+91 194-2501001,srinagar@thelalit.com,5-Star Luxury Palace Hotel,113,Luxury,"Couple, Family, Friends","Heated Pool, Spa, Lake View Rooms, Gardens",Available,9.2 Excellent,21000,"Dal Lake – 1 km, Nishat Garden – 4 km",5,https://www.thelalit.com/wp-content/uploads/2022/05/srinagar1.jpg
,,,,,,,,,,,,,,,
Fortune Resort Heevan Srinagar,"Near Nishat Garden, Srinagar",Jammu & Kashmir,+91 194-2465001,reservations@fortunehotels.in,4-Star Resort,39,Moderate,"Family, Couple","Free WiFi, Garden View, Multi-Cuisine Restaurant",Available,8.4 Very Good,8500,Nishat Garden – 300m,4,https://www.itchotels.com/content/dam/itchotels/in/umbrella/fortune/hotels/fortuneresortheevan-srinagar/images/overview-landing-page/headmast/desktop/facade-front.jpg
Hotel Royal Batoo Srinagar,"Dalgate Bridge, Srinagar",Jammu & Kashmir,+91 97960 88911,info@hotelroyalbatoo.com,4-Star Hotel,45,Moderate,"Family, Friends","Free WiFi, Spacious Rooms, Restaurant",Available,8.1 Very Good,7000,Dal Lake – 1.2 km,4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFubganE2j3qiFXCDKg_GRJP9uCZHR_dGG-citIEjo98wgvhfzBM8bSIJ4mFgExZA-C84_s3sxmCJKiAlZ1hxgBZFxQ2xpxI9gThvwlRU2q1yHCY9J7rvVdsGYGEbH-MjIFhQZwWmVDJHkYboOU6jezn5YTNsSO9F2FJzPMn4aajMiuwvROt_x3KQ=w324-h312-n-k-no
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Hotel Heevan Pahalgam,"Aru Road, Pahalgam",Jammu & Kashmir,+91 194-2467720,info@hotelheevan.com,4-Star Resort,50,Moderate,"Family, Friends","River View, Garden, WiFi",Available,8.2 Very Good,7500,Pahalgam Market – 1.5 km,4,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG5uvtlKe9jWkw-OuarxHvbuqRlkSGEHeEquG-MCaiBGkgrev2Hx_uSA1oyEMA5RmG3pAv9yHiuQAis_f2WxgD1n0HvT_wzOM454Io0W-n4R1JiNS6vdet9kL4Nd7rWBGMypWUdm5PP5pJd5AMOisO4PHg_pHk71DFhbphWhqylLT8MQ6TrgnjA9g=w324-h312-n-k-no
